Tienda_ID,Archivo,Total_Transacciones,Clientes_Unicos,Fecha_Inicio,Fecha_Fin,Productos_Promedio_Transaccion,Duplicados,Nulos
102,102_Tran.csv,314286,44593,2013-01-01,2013-06-30,8.15,0,0
103,103_Tran.csv,407130,64239,2013-01-01,2013-06-30,10.4,1,0
107,107_Tran.csv,254633,31437,2013-01-01,2013-06-30,9.47,0,0
110,110_Tran.csv,132938,18144,2013-01-01,2013-06-30,10.41,0,0
